iter	Passed	Remaining
696	2391	1039
697	2393	1035
698	2395	1031
699	2397	1027
700	2399	1023
701	2400	1019
702	2403	1015
703	2405	1011
704	2407	1007
705	2409	1003
706	2411	999
707	2413	995
708	2414	991
709	2416	987
710	2418	983
711	2420	979
712	2422	975
713	2424	971
714	2426	967
715	2428	963
716	2430	959
717	2432	955
718	2434	951
719	2436	947
720	2438	943
721	2440	939
722	2442	935
723	2444	931
724	2446	927
725	2447	923
726	2449	919
727	2451	916
728	2453	912
729	2455	908
730	2457	904
731	2459	900
732	2461	896
733	2463	892
734	2465	888
735	2468	885
736	2470	881
737	2472	877
738	2474	873
739	2476	869
740	2478	866
741	2479	862
742	2481	858
743	2484	854
744	2486	851
745	2488	847
746	2490	843
747	2491	839
748	2493	835
749	2495	831
750	2497	827
751	2500	824
752	2502	820
753	2504	816
754	2506	813
755	2508	809
756	2509	805
757	2511	801
758	2514	798
759	2516	794
760	2518	790
761	2520	787
762	2522	783
763	2524	779
764	2526	775
765	2528	772
766	2530	768
767	2532	765
768	2534	761
769	2536	757
770	2537	753
771	2539	750
772	2541	746
773	2543	742
774	2545	738
775	2547	735
776	2549	731
777	2551	728
778	2553	724
779	2555	720
780	2558	717
781	2560	713
782	2562	710
783	2565	706
784	2567	703
785	2569	699
786	2571	696
787	2573	692
788	2575	688
789	2579	685
790	2582	682
791	2584	678
792	2586	675
793	2588	671
794	2590	667
795	2594	664
796	2597	661
797	2599	657
798	2601	654
799	2603	650
800	2605	647
801	2607	643
802	2610	640
803	2613	637
804	2615	633
805	2617	630
806	2619	626
807	2621	622
808	2623	619
809	2627	616
810	2629	612
811	2631	609
812	2633	605
813	2634	602
814	2636	598
815	2638	594
816	2640	591
817	2643	588
818	2645	584
819	2647	581
820	2649	577
821	2651	574
822	2653	570
823	2657	567
824	2660	564
825	2662	560
826	2664	557
827	2666	553
828	2668	550
829	2670	546
830	2674	543
831	2676	540
832	2678	536
833	2679	533
834	2681	529
835	2683	526
836	2685	522
837	2688	519
838	2691	516
839	2693	513
840	2695	509
841	2697	506
842	2699	502
843	2701	499
844	2705	496
845	2707	492
846	2709	489
847	2710	485
848	2712	482
849	2714	479
850	2716	475
851	2719	472
852	2721	469
853	2723	465
854	2725	462
855	2727	458
856	2729	455
857	2730	451
858	2732	448
859	2736	445
860	2738	442
861	2740	438
862	2741	435
863	2743	431
864	2745	428
865	2747	425
866	2749	421
867	2752	418
868	2753	415
869	2755	411
870	2757	408
871	2759	405
872	2761	401
873	2762	398
874	2764	394
875	2767	391
876	2768	388
877	2770	384
878	2772	381
879	2774	378
880	2776	374
881	2778	371
882	2779	368
883	2782	365
884	2784	361
885	2786	358
886	2788	355
887	2789	351
888	2791	348
889	2793	345
890	2795	341
891	2797	338
892	2799	335
893	2801	332
894	2802	328
895	2804	325
896	2806	322
897	2808	319
898	2811	315
899	2814	312
900	2815	309
901	2817	306
902	2819	302
903	2821	299
904	2823	296
905	2825	293
906	2827	289
907	2829	286
908	2831	283
909	2833	280
910	2834	276
911	2836	273
912	2838	270
913	2840	267
914	2841	264
915	2843	260
916	2846	257
917	2847	254
918	2849	251
919	2851	247
920	2853	244
921	2854	241
922	2856	238
923	2858	235
924	2860	231
925	2863	228
926	2865	225
927	2867	222
928	2868	219
929	2870	216
930	2872	212
931	2874	209
932	2876	206
933	2878	203
934	2880	200
935	2882	197
936	2883	193
937	2885	190
938	2887	187
939	2889	184
940	2890	181
941	2893	178
942	2895	175
943	2897	171
944	2899	168
945	2900	165
946	2902	162
947	2904	159
948	2906	156
949	2908	153
950	2910	149
951	2912	146
952	2913	143
953	2915	140
954	2917	137
955	2919	134
956	2920	131
957	2923	128
958	2925	125
959	2927	121
960	2929	118
961	2931	115
962	2933	112
963	2934	109
964	2936	106
965	2938	103
966	2940	100
967	2942	97
968	2944	94
969	2945	91
970	2947	88
971	2949	84
972	2951	81
973	2953	78
974	2954	75
975	2957	72
976	2959	69
977	2960	66
978	2962	63
979	2964	60
980	2966	57
981	2968	54
982	2970	51
983	2972	48
984	2975	45
985	2977	42
986	2979	39
987	2981	36
988	2983	33
989	2984	30
990	2986	27
991	2990	24
992	2993	21
993	2994	18
994	2996	15
995	2998	12
996	3000	9
997	3002	6
998	3005	3
999	3008	0
	3819	3
999	3822	0
8	103
983	5996	97
984	6025	91
985	6032	85
986	6036	79
987	6046	73
988	6091	67
989	6111	61
990	6115	55
991	6132	49
992	6138	43
993	6143	37
994	6152	30
995	6156	24
996	6170	18
997	6178	12
998	6182	6
999	6187	0
29	0
